table,game,buttons,sound,saves,first,loop,recipe,skip,loopskip,anchor0,anchor,land,pair,late,rows,alias
loopnone-none_help_mono__r-start0-ltap-soft-ltap2,fr,help,mono,multi,none,none,start0-ltap-soft-ltap2,,,1954,6279,482,start-a,start,1533,
loopnone-none_help_mono__r-start0-soft,fr,help,mono,multi,none,none,start0-soft,,,1952,6277,481,start-a,start,2474,
loopnone-none_help_stereo__r-ltap,fr,help,stereo,multi,none,none,ltap,,,1743,6068,0,start-a,start,1635,
loopnone-none_help_stereo__r-ltap-soft,fr,help,stereo,multi,none,none,ltap-soft,,,1953,6278,482,start-a,start,2595,
loopnone-none_help_stereo__r-ltap-soft-ltap2,fr,help,stereo,multi,none,none,ltap-soft-ltap2,,,1954,6279,482,start-a,start,1655,
loopnone-none_help_stereo__r-start0-ltap-soft,fr,help,stereo,multi,none,none,start0-ltap-soft,,,1953,6278,482,start-a,start,2235,
loopnone-none_help_stereo__r-start0-ltap-soft-ltap2,fr,help,stereo,multi,none,none,start0-ltap-soft-ltap2,,,1954,6279,482,start-a,start,1537,
loopnone-none_help_stereo__r-start0-soft,fr,help,stereo,multi,none,none,start0-soft,,,1952,6277,481,start-a,start,2474,
loopnone-none_la_mono__r-ltap,fr,la,mono,multi,none,none,ltap,,,1743,6068,0,start-a,start,1600,
loopnone-none_la_mono__r-ltap-soft,fr,la,mono,multi,none,none,ltap-soft,,,1953,6278,482,start-a,start,2595,
loopnone-none_la_mono__r-ltap-soft-ltap2,fr,la,mono,multi,none,none,ltap-soft-ltap2,,,1954,6279,482,start-a,start,1650,
loopnone-none_la_mono__r-start0-ltap-soft,fr,la,mono,multi,none,none,start0-ltap-soft,,,1953,6278,482,start-a,start,2323,
loopnone-none_la_mono__r-start0-ltap-soft-ltap2,fr,la,mono,multi,none,none,start0-ltap-soft-ltap2,,,1954,6279,482,start-a,start,1550,
loopnone-none_la_mono__r-start0-soft,fr,la,mono,multi,none,none,start0-soft,,,1952,6277,481,start-a,start,2474,
loopnone-none_la_stereo__r-ltap,fr,la,stereo,multi,none,none,ltap,,,1743,6068,0,start-a,start,1643,
